"UniqueUnderliers","Spot","TierValue","ShockValue","Group","UnderlyingMinStrike","GroupMinStrike","GroupSpot","SpotRatio","StrikeRatio"
"GDX.P",21.48,3,0.1,"GDX.P",11.442,11.442,21.48,1,1
"XLF.P",25.03,3,0.1,"XLF.P",18.856,18.856,25.03,1,1
"KRE.P",56.07,3,0.1,"KRE.P",36.736,36.736,56.07,1,1
"SPTBK.INDX",3168.404,2,0.05,"SPTBK.INDX",1838.431,1838.431,3168.404,1,1
"TWTR.N",17.65,5,0.2,"TWTR.N",23.85,23.85,17.65,1,1
"XLE.P",66.17,3,0.1,"XLE.P",50.974,50.974,66.17,1,1
"XOM.N",82.1,4,0.15,"XOM.N",74.43,74.43,82.1,1,1
"AMZN.OQ",953.66,4,0.15,"AMZN.OQ",846.927,846.927,953.66,1,1
"XOP.P",32.61,3,0.1,"XOP.P",31.5,31.5,32.61,1,1
"STX50E.INDX",3479.47,1,0.05,"STX50E.INDX",1999.4325,1999.4325,3479.47,1,1
"SPX.INDX",2429.01,1,0.05,"SPX.INDX",1200.324,1200.324,2429.01,1,1
"EWZ.P",34.4,2,0.05,"EWZ.P",32.956,32.956,34.4,1,1
"HSCE.INDX",10305.978,2,0.05,"HSCE.INDX",6897.03,6897.03,10305.978,1,1
"SPTFN.INDX",284.0643,3,0.1,"SPTFN.INDX",164.2875,164.2875,284.0643,1,1
"SPSRBK.INDX",1759.83,3,0.1,"SPSRBK.INDX",1664.85,1664.85,1759.83,1,1
"RUT.INDX",1426.68,2,0.05,"RUT.INDX",822.7158,822.7158,1426.68,1,1
"XBI.P",77.91,3,0.1,"XBI.P",38.052,38.052,77.91,1,1
"XEG.TO",10.945,3,0.1,"XEG.TO",8.666,8.666,10.945,1,1
"STX70E.INDX",135.37,3,0.1,"STX70E.INDX",-1,-1,135.37,1,1
"XGD.TO",11.9,3,0.1,"XGD.TO",7.482,7.482,11.9,1,1
"SPTUT.INDX",252.4,3,0.1,"SPTUT.INDX",179.109,179.109,252.4,1,1
"STLIFE.INDX",1250.081,3,0.1,"STLIFE.INDX",725.964,725.964,1250.081,1,1
"STENRS.INDX",2235.224,3,0.1,"STENRS.INDX",1846.495,1846.495,2235.224,1,1
"XME.P",30.07,3,0.1,"XME.P",18.956,18.956,30.07,1,1
"EEM.P",41.63,2,0.05,"EEM.P",26.523,26.523,41.63,1,1
"FB.OQ",148.43,4,0.15,"FB.OQ",129.166,129.166,148.43,1,1
"USO.P",9.62,3,0.1,"USO.P",12.292,12.292,9.62,1,1
"XRE.TO",16.08,3,0.1,"XRE.TO",12.3525,12.3525,16.08,1,1
"IXE.INDX",664.34,3,0.1,"IXE.INDX",704.16,704.16,664.34,1,1
"XSP.TO",27.68,1,0.05,"XSP.TO",17.962,17.962,27.68,1,1
"SPTSE.INDX",890.09,1,0.05,"SPTSE.INDX",-0.7,-0.7,890.09,1,1
"EFA.P",65.12,2,0.05,"EFA.P",39.936,39.936,65.12,1,1
"DAL.N",54.06,4,0.15,"DAL.N",43.479,43.479,54.06,1,1
